ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3564222335815434e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,21.04,0.74,17.05
3.3e-05,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.03,20.8,0.746,16.1
0.000992,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.05,21.8,0.767,17.5
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.42299999999999993,120,1.097,22.26,0.75,18.32
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.42299999999999993,102.9254556793166,1.092,22.21,0.755,18.07
0.000992,0.1,0,0.83,0.17,0.17,0.5,2.9,131.7,0.7033303036760689,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
3.3e-05,0.09,0,0.85,0.15,0.09599803,0.25,2.9,131.7,0.806,150,1.05,25.4,0.771,20.56
0.000992,0.1,0,0,1,0,0.11111111111111101,2.9,131.7,0.806,100,1.02,22.5,0.752,17.6
0.000992,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0.01287464,0,1,0,0.11111111111111101,2.9,131.7,0.806,100,1.01,21.8,0.668,14.7
3.3e-05,0.16,0,0,1,0,0.11111111111111101,2.9,131.7,0.806,100,1.02,22.3,0.76,17.3
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.051,20.1,0.75,15.9
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.091,20.6,0.76,17
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.137,21.83,0.749,18.57
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,22.07,0.748,18.84
0.000992,0.17,0.05,0.79,0.16,0.17,0.14497132558950782,2.9,131.7,0.806,100,1.143,21.86,0.781,19.52
3.7218378067016606e-05,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,21.92,0.787,19.68
3.7190826416015625e-05,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.153,22.31,0.791,20.33
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.158,22.39,0.793,20.56
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.145,21.31,0.779,19.02
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.6567391434693337,131.7,0.806,100,1.145,21.36,0.784,19.17
0.000992,0.17,0,1,0,0,0.073302992,2.6413172942287924,131.7,0.806,100,1.103,23.23,0.765,19.52
0.000992,0.17,0,1,0,0,0.11490584568858146,2.9,131.7,0.6041855583811104,100,1.117,23.13,0.771,19.92
0.000992,0.17,0,0.7435357257394194,0,0,0.25,2.9,131.7,0.806,100,1.137,23.83,0.798,21.64
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.139,23.68,0.814,21.95
0.000992,0.09,0,0,1,0,0.142857143,0.8999999999999999,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,1,0,0.142857143,0.8999999999999999,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,1,0,0.142857143,0.8999999999999999,34.6,0.2448,100,1.05,22.2,0.763,17.81
3.3e-05,0.061947097519785166,0.05,0.855,0.095,0.145,0.25,2.9,131.7,0.806,100,1.02,21.22,0.711,15.4
3.3e-05,0.09,0.026687482950657603,0.85,0,0,0.25,2.9,119.15751258798431,0.806,130,1,24,0.715,17.2
0.000992,0.125,0,0.83,0.17,0.16000000000000003,0.25,2.9,121.01143637731599,0.806,100,1.05,20.5,0.646,14.22
0.000992,0.125,0,0.83,0.17,0.16000000000000003,0.25,2.692462962127924,131.7,0.806,100,1.09,21.5,0.705,16.73
3.3e-05,0.09,0,0,1,0,0.25,2.806637400214374,131.7,0.806,100,1.01,22.96,0.74,17.25
0.000992,0.0893,0.061242594,0.83,0,0.27,0.11111111111111101,2.9,131.7,0.806,100,1.244,19.5,0.767,18.6
0.000992,0.0893,0.17,0.83,0,0.4,0.11111111111111101,2.9,131.7,0.806,100,1.284,17.8,0.722,16.51
0.000992,0.0893,0.17,0.83,0,0.5,0.11111111111111101,2.9,131.7,0.806,100,1.296,16.2,0.715,15.01
0.000992,0.0893,0.17,0.83,0,0.6,0.11111111111111101,2.9,131.7,0.806,100,1.312,15,0.729,14.35
0.000992,0.0893,0.17,0.83,0,0.27,0.11111111111111101,2.9,131.7,0.806,99.91956689610451,1.223,19.5,0.721,17.2
0.000992,0.0893,0.17,0.7450468838095664,0,0.4,0.11111111111111101,2.9,131.7,0.806,100,1.254,17.4,0.697,15.2
